react_id	kappmax_davidi_per_pp_per_s_ensemble_model	kappmax_davidi_per_pp_per_s_median_imputed	kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model	kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed	kappmax_KO_ALE_per_pp_per_s_ensemble_model	kappmax_KO_ALE_per_pp_per_s_median_imputed	kcat_in_vitro_per_s_ensemble_model	kcat_in_vitro_per_s_median_imputed
13PPDH2	4.382620105	6.2	10.01930564	4.2	2.791838569	3.26802058	12.05569563	16.61666667
13PPDH2_b	5.431879619	6.2	8.772032374	4.2	3.283804426	3.26802058	8.240746039	16.61666667
23PDE2pp	22.39597622	6.2	24.94124212	4.2	3.540425189	3.26802058	14.43623659	16.61666667
23PDE4pp	22.39597622	6.2	24.94124212	4.2	3.540425189	3.26802058	14.43623659	16.61666667
23PDE7pp	22.39597622	6.2	24.94124212	4.2	3.540425189	3.26802058	14.43623659	16.61666667
23PDE9pp	22.39597622	6.2	24.94124212	4.2	3.540425189	3.26802058	14.43623659	16.61666667
2AGPEAT120	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT140	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT141	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT160	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT161	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT180	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPEAT181	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT120	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT140	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT141	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT160	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT161	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT180	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2AGPGAT181	3.614198627	6.2	4.278305842	4.2	2.044476547	3.26802058	113.2672534	16.61666667
2DDARAA	4.075455652	6.2	5.216535402	4.2	3.116683482	3.26802058	8.472634239	16.61666667
2DDARAA_b	3.881448056	6.2	4.446716502	4.2	2.689897406	3.26802058	7.291855619	16.61666667
2DGULRGx	5.620935232	6.2	4.987408071	4.2	2.178439822	3.26802058	7.909716563	16.61666667
2DGULRGy	3.871157393	6.2	7.949675177	4.2	2.44818229	3.26802058	10.89908076	16.61666667
2DGULRx	5.620935232	6.2	4.987408071	4.2	2.178439822	3.26802058	7.909716563	16.61666667
2DGULRy	3.871157393	6.2	7.949675177	4.2	2.44818229	3.26802058	10.89908076	16.61666667
2DOXG6PP	6.318759527	6.2	13.2447699	4.2	4.038471506	3.26802058	27.35385323	16.61666667
2HESR	6.377677114	6.2	10.07169454	4.2	3.911572704	3.26802058	12.82966124	16.61666667
2HPTCOAT	8.556649254	6.2	18.29217704	4.2	6.153794022	3.26802058	25.36303199	16.61666667
2MAHMP	5.221760418	6.2	7.597592992	4.2	3.462365231	3.26802058	32.87691384	16.61666667
3AMACHYD	7.79913401	6.2	41.65172423	4.2	33.13717365	3.26802058	21.16068981	16.61666667
3HAD100	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD120	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD121	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD140	3.314490188	6.2	4.723862351	4.2	2.745113273	3.26802058	8.887172001	16.61666667
3HAD141	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD160	3.314490188	6.2	4.723862351	4.2	2.745113273	3.26802058	8.887172001	16.61666667
3HAD161	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD180	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD181	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD40	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HAD60	3.314490188	6.2	4.723862351	4.2	2.745113273	3.26802058	8.887172001	16.61666667
3HAD80	3.14862463	6.2	4.393874516	4.2	2.407494027	3.26802058	8.996683303	16.61666667
3HBZCT	3.641010405	6.2	6.92589214	4.2	3.283962407	3.26802058	7.450912176	16.61666667
3HCINNMH	7.988018328	6.2	5.734750147	4.2	2.676856942	3.26802058	8.863881486	16.61666667
3HPADHi	5.061651116	6.2	5.392753889	4.2	2.464206367	3.26802058	17.03194512	16.61666667
3HPPPNH	7.988018328	6.2	5.734750147	4.2	2.676856942	3.26802058	8.863881486	16.61666667
3KGK	5.472165876	6.2	7.793525197	4.2	2.823987895	3.26802058	12.26894314	16.61666667
3NTD2pp	9.656999226	6.2	26.09258942	4.2	3.487721905	3.26802058	61	61
3NTD4pp	7.755749666	6.2	21.95374274	4.2	3.800979665	3.26802058	14.59549376	16.61666667
3NTD7pp	9.656999226	6.2	26.09258942	4.2	3.487721905	3.26802058	15.86308768	16.61666667
3NTD9pp	9.656999226	6.2	26.09258942	4.2	3.487721905	3.26802058	15.86308768	16.61666667
3OAR100	3.194491624	6.2	8.24329299	8.24329299	8.24329299	8.24329299	14.68975978	16.61666667
3OAR100_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAR120	3.194491624	6.2	4.480060846	4.480060846	4.480060846	4.480060846	14.68975978	16.61666667
3OAR120_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAR121	2.953115165	6.2	3.76323216	3.76323216	3.76323216	3.76323216	18.09024656	16.61666667
3OAR140	1.3	1.3	4.265517597	4.265517597	4.265517597	4.265517597	35.83498507	16.61666667
