Enzyme	Molecular-Weight-KiloDaltons	Names
L-LACTDEHYDROGFMN-MONOMER	42.728 // 43.0	lldD // lct // lctD // b3605 // ECK3595
MUTHLS-CPLX		mutL // b4170 // ECK4166 // mutS // ant // plm // fdv // b2733 // ECK2728 // mutH // mutR // prv // b2831 // ECK2827
CPLX0-8176		tcdA // ygdL // csdL // b2812 // ECK2808
CPLX0-8547		ydjI // b1773 // ECK1771
G6551-MONOMER	53.666	clsC // ymdC // b1046 // ECK1032
G6571-MONOMER	34.636	ldtC // ycfS // b1113 // ECK1099
CPLX0-7917		yghU // b2989 // ECK2983
CPLX0-7989		mpaA // ycjI // b1326 // ECK1322
CPLX0-8554		ycjR // dte // b1314 // ECK1309
CPLX0-7760	193.0	acnA // acn // b1276 // ECK1271
HISTDEHYD-CPLX	92.0	hisD // b2020 // ECK2015
CPLX-9493		ccmB // yejV // b2200 // ECK2192 // ccmA // yejW // b2201 // ECK2193
CPLX0-8190		cmoB // yecP // b1871 // ECK1872
GRXC-MONOMER	9.137	grxC // yibM // b3610 // ECK3600
RED-GLUTAREDOXIN	9.685	grxA // grx // b0849 // ECK0840
GRXB-MONOMER	24.35 // 27.0	grxB // b1064 // ECK1049
G6383-MONOMER	29.845	nei // b0714 // ECK0703
EG12054-MONOMER	71.389	ccmF // yejR // b2196 // ECK2188
G6904-MONOMER	36.082	ldtE // ynhG // b1678 // ECK1674
CPLX0-7725	405.0	casA // ygcL // cse1 // b2760 // ECK2755 // casB // ygcK // cse2 // b2759 // ECK2754 // casC // ygcJ // cse4 // cas7 // b2758 // ECK2753 // casD // ygcI // cas5e // b2757 // ECK2752 // casE // ygcH // cse3 // cas6e // b2756 // ECK2751
G7073-MONOMER	34.411	ldtA // yzzT // yeeG // erfK // b1990 // ECK1985
CPLX0-8311		yoeB // b4539 // ECK2011
CPLX0-902	29.4	pptA // ydcE // b1461 // ECK1455
EG12384-MONOMER	31.644	ybcF // arcC // b0521 // ECK0514
PYRDAMPTRANS-MONOMER		
EG11497-MONOMER	31.877 // 31.0	prmA // yhdI // prm-1 // b3259 // ECK3246
G6438-MONOMER	23.713	gstB // yliJ // b0838 // ECK0828
EG11914-MONOMER	66.61	eptC // yijP // b3955 // ECK3946
G7099-MONOMER	19.962	wcaF // b2054 // ECK2048
EG11579-MONOMER	18.669	ybiA // b0798 // ECK0787
EG11613-MONOMER	61.667	eptA // yjdB // b4114 // ECK4107
EG11424-MONOMER	46.878	waaL // rfaL // b3622 // ECK3612
EG11750-MONOMER	33.267	rpnA // yhgA // b3411 // ECK3398
EG11900-MONOMER	7.019	ralR // ydaB // lar // b1348 // ECK1345
G7169-MONOMER	33.112	arnD // pmrJ // yfbH // b2256 // ECK2249
G7324-MONOMER	13.849 // 17.0	iscU // yfhN // nifU // b2529 // ECK2526
EG11116-MONOMER	39.781	trhO // yceA // b1055 // ECK1040
G6418-MONOMER	59.706	opgE // ybiP // b0815 // ECK0804
CYANLY-CPLX	150.0	cynS // cnt // cyaN // b0340 // ECK0337
G6521-MONOMER	13.763	rutC // ycdK // b1010 // ECK1001
G7100-MONOMER	27.894	wcaE // b2055 // ECK2049
CPLX0-8010	52.5	cmoA // yecO // b1870 // ECK1871
CPLX0-7609		mnmE // trmE // thdF // b3706 // ECK3699 // mnmG // gidA // trmF // b3741 // ECK3734
RECFOR-CPLX		recF // uvrF // b3700 // ECK3692 // recR // b0472 // ECK0466 // recO // b2565 // ECK2563
G6422-MONOMER	33.325	ldtB // ybiS // b0819 // ECK0809
EG12693-MONOMER	21.436	nudL // yeaB // b1813 // ECK1811
CPLX0-7806		yfcG // b2302 // ECK2296
G6522-MONOMER	25.209	rutB // ycdL // b1011 // ECK1002
EG11350-MONOMER	36.73	waaS // rfaS // b3629 // ECK3619
CPLX0-821	450.0	frlB // yhfN // b3371 // ECK3359
CPLX0-7927	82.0	curA // yncB // b1449 // ECK1443
G7103-MONOMER	17.616	wcaB // b2058 // ECK2052
EG11662-MONOMER	24.979	yedK // yedG // b1931 // ECK1930
EG11438-MONOMER	21.691	yceF // b1087 // ECK1072
CPLX0-8303		rutD // ycdJ // b1009 // ECK1000
CPLX0-244	47.0	nfsA // mda18 // mdaA // ybjB // b0851 // ECK0842
DIHYDROPTERIREDUCT-CPLX	43.0	nfsB // ntr // dprA // nfnB // b0578 // ECK0570
G6967-MONOMER	30.987	yeaE // b1781 // ECK1779
G6651-MONOMER	38.216	ycjQ // b1313 // ECK1308
MONOMER0-148	31.11 // 29.0	dkgA // yqhE // b3012 // ECK3004
CPLX0-8549		ahr // yjgB // b4269 // ECK4262
MONOMER0-149	29.437 // 29.0	dkgB // yafB // b0207 // ECK0207
G6958-MONOMER	36.329	ydjG // b1771 // ECK1769
EG11292-MONOMER	31.488	yghA // b3003 // ECK2997
EG12022-MONOMER	35.199	dusC // yohI // b2140 // ECK2133
G6653-MONOMER	38.652	ycjS // b1315 // ECK1310
TSA-REDUCT-MONOMER	30.427	garR // yhaE // b3125 // ECK3113
EG11932-MONOMER	38.468	dusA // yjbN // b4049 // ECK4041
G6269-MONOMER	29.41	ybbO // b0493 // ECK0487
G7558-MONOMER	38.832	gpr // mgrA // yghZ // b3001 // ECK2995
EG11311-MONOMER	35.866	dusB // yhdG // b3260 // ECK3247
CPLX0-7616	150.0	glxR // glxB1 // ybbQ // b0509 // ECK0502
CPLX0-8015		adhP // yddN // b1478 // ECK1472
CPLX0-8005		fabG // b1093 // ECK1079
EG12293-MONOMER	40.351	yiaY // b3589 // ECK3578
THREODEHYD-CPLX	140.0	tdh // b3616 // ECK3606
KDUD-MONOMER	27.07	kduD // yqeD // ygeC // b2842 // ECK2840
CPLX0-2061		yiaK // b3575 // ECK3564
DTDPDEHYRHAMREDUCT-MONOMER	32.694	rfbD // rmlD // b2040 // ECK2034
SORB6PDEHYDROG-CPLX	117.0	srlD // gutD // b2705 // ECK2700
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	120.0	hdhA // hsd // hsdH // b1619 // ECK1614
2-DEHYDROPANTOATE-REDUCT-MONOMER	33.871 // 33.0	panE // apbA // b0425 // ECK0419
MANNPDEHYDROG-MONOMER	41.139 // 40.0	mtlD // b3600 // ECK3589
CPLX0-7667		yqhD // b3011 // ECK3003
IMP-DEHYDROG-CPLX	228.0	guaB // guaR // b2508 // ECK2504
CPLX0-8098	86.0	ugd // yefA // udg // UDG8 // pmrE // b2028 // ECK2023
EG11581-MONOMER	38.897	hcxB // ybiC // b0801 // ECK0790
CPLX0-7462	64.0	ydiB // b1692 // ECK1690
AROE-MONOMER	29.414 // 32.0	aroE // b3281 // ECK3268
CPLX0-8186	63.0	gatD // b2091 // ECK2084
CPLX0-7847		pdxA // b0052 // ECK0053
DXPREDISOM-CPLX		dxr // yaeM // ispC // b0173 // ECK0172
CPLX0-3881		fcl // wcaG // yefB // b2052 // ECK2046
CPLX0-8158		ldhA // htpH // hslF // hslI // b1380 // ECK1377
METHYLGLYREDUCT-MONOMER	43.0	
ADHC-CPLX		frmA // adhC // b0356 // ECK0353
CPLX0-8212		pdxB // usg-2 // b2320 // ECK2314
G6519-MONOMER	21.57	rutE // ycdI // b1008 // ECK0999
CPLX0-1962	105.0	ydfG // b1539 // ECK1532
EG12133-MONOMER	27.85	ucpA // yfeF // b2426 // ECK2421
CPLX0-8013	100.0	wecC // rff // rffD // mnaB // b3787 // ECK3779
G6716-MONOMER	51.733	paaH // hbdH // ydbU // b1395 // ECK1392
FADB-MONOMER	79.594 // 78.0	fadB // oldB // b3846 // ECK3838
G7212-MONOMER	77.072 // 77.1	fadJ // yfcX // b2341 // ECK2335
CPLX0-7993		allD // glxB8 // ylbC // b0517 // ECK0510
DEHYDROPANTLACRED-MONOMER		
IDONDEHYD-MONOMER	37.147	idnD // yjgV // b4267 // ECK4260
MALATE-DEHASE		mdh // b3236 // ECK3225
CPLX0-7794	143.0	yihU // squU // b3882 // ECK3875
MALIC-NAD-CPLX	268.0	maeA // sfcA // b1479 // ECK1473
MALIC-NADP-CPLX		maeB // ypfF // b2463 // ECK2458
G7945-MONOMER	36.448	lgoD // yjjN // b4358 // ECK4348
ISOCITHASE-CPLX		icd // icdE // icdA // b1136 // ECK1122
6PGLUCONDEHYDROG-CPLX	102.0	gnd // b2029 // ECK2024
GLU6PDEHYDROG-MONOMER	55.704 // 52.0	zwf // b1852 // ECK1853
